category,k,V,perplexity
Type_1,0.0,1977,inf
Type_1,0.1,1977,246.77130763754894
Type_1,0.5,1977,401.97854597867826
Type_1,1.0,1977,527.509124426899
Type_10,0.0,4179,inf
Type_10,0.1,4179,505.2239378507367
Type_10,0.5,4179,915.0682453897138
Type_10,1.0,4179,1224.682261758725
Type_11,0.0,3988,inf
Type_11,0.1,3988,670.131890574747
Type_11,0.5,3988,1100.7358999673227
Type_11,1.0,3988,1410.0258223726619
Type_12,0.0,4072,inf
Type_12,0.1,4072,546.8522983575385
Type_12,0.5,4072,950.1813439745337
Type_12,1.0,4072,1251.2651238146314
Type_13,0.0,4050,inf
Type_13,0.1,4050,529.5415987237973
Type_13,0.5,4050,942.9501260373129
Type_13,1.0,4050,1249.6149927418314
Type_14,0.0,4207,inf
Type_14,0.1,4207,440.09543676620757
Type_14,0.5,4207,846.1618755584337
Type_14,1.0,4207,1158.6200457812859
Type_15,0.0,4147,inf
Type_15,0.1,4147,544.1419330460441
Type_15,0.5,4147,966.3532285935163
Type_15,1.0,4147,1280.9729638419242
Type_16,0.0,4070,inf
Type_16,0.1,4070,556.2803555665502
Type_16,0.5,4070,971.1983634281402
Type_16,1.0,4070,1277.2692296582286
Type_17,0.0,2892,inf
Type_17,0.1,2892,275.13344439372213
Type_17,0.5,2892,480.8116276279535
Type_17,1.0,2892,648.5082506211513
Type_18,0.0,2896,inf
Type_18,0.1,2896,296.1908268487199
Type_18,0.5,2896,498.8487707281389
Type_18,1.0,2896,663.7858524233566
Type_19,0.0,2103,inf
Type_19,0.1,2103,355.7694702873523
Type_19,0.5,2103,560.8297474745042
Type_19,1.0,2103,717.9536723833521
Type_2,0.0,2380,inf
Type_2,0.1,2380,391.5849296739897
Type_2,0.5,2380,660.0005373873636
Type_2,1.0,2380,858.901640862837
Type_20,0.0,2177,inf
Type_20,0.1,2177,307.4797936885525
Type_20,0.5,2177,523.3186704799555
Type_20,1.0,2177,688.6476863440294
Type_3,0.0,2293,inf
Type_3,0.1,2293,376.179921500457
Type_3,0.5,2293,634.0581689410855
Type_3,1.0,2293,824.8883465624328
Type_4,0.0,2356,inf
Type_4,0.1,2356,394.81375728403947
Type_4,0.5,2356,665.7868964083265
Type_4,1.0,2356,864.4584797937567
Type_5,0.0,2740,inf
Type_5,0.1,2740,391.3917232346082
Type_5,0.5,2740,657.4816792662164
Type_5,1.0,2740,861.4293576641762
Type_6,0.0,2611,inf
Type_6,0.1,2611,391.4217372625254
Type_6,0.5,2611,608.2348274318631
Type_6,1.0,2611,775.565477606856
Type_7,0.0,2915,inf
Type_7,0.1,2915,366.6344366291142
Type_7,0.5,2915,573.3863614725859
Type_7,1.0,2915,738.6104460543772
Type_8,0.0,4112,inf
Type_8,0.1,4112,507.2015565285803
Type_8,0.5,4112,908.01127562263
Type_8,1.0,4112,1209.645615507731
Type_9,0.0,4078,inf
Type_9,0.1,4078,605.399827086779
Type_9,0.5,4078,1029.3888196144846
Type_9,1.0,4078,1338.7971292100403
