category,k,V,perplexity
Type_1,0.0,2996,inf
Type_1,0.1,2996,401.1639597693639
Type_1,0.5,2996,682.6266149637761
Type_1,1.0,2996,896.0911749201272
Type_10,0.0,4194,inf
Type_10,0.1,4194,507.1511236202772
Type_10,0.5,4194,918.544819061162
Type_10,1.0,4194,1229.269195877094
Type_11,0.0,4010,inf
Type_11,0.1,4010,673.5349378699055
Type_11,0.5,4010,1106.786604696682
Type_11,1.0,4010,1417.8561674566836
Type_12,0.0,4085,inf
Type_12,0.1,4085,550.5376217210652
Type_12,0.5,4085,954.926144484695
Type_12,1.0,4085,1256.7382399635922
Type_13,0.0,4066,inf
Type_13,0.1,4066,533.0852654935561
Type_13,0.5,4066,948.0389910881112
Type_13,1.0,4066,1255.7530899031913
Type_14,0.0,4219,inf
Type_14,0.1,4219,441.86181095348053
Type_14,0.5,4219,849.1676415185601
Type_14,1.0,4219,1162.4869274679259
Type_15,0.0,4157,inf
Type_15,0.1,4157,546.2181527368897
Type_15,0.5,4157,969.5074413772056
Type_15,1.0,4157,1284.8307223228867
Type_16,0.0,4081,inf
Type_16,0.1,4081,558.0985471024395
Type_16,0.5,4081,974.1969058328249
Type_16,1.0,4081,1281.078787360792
Type_17,0.0,4982,inf
Type_17,0.1,4982,529.4473095899577
Type_17,0.5,4982,971.7017866941402
Type_17,1.0,4982,1311.7579810978564
Type_18,0.0,4986,inf
Type_18,0.1,4986,579.447672602952
Type_18,0.5,4986,1022.7967611743912
Type_18,1.0,4986,1361.0706129996372
Type_19,0.0,3079,inf
Type_19,0.1,3079,606.1245938233104
Type_19,0.5,3079,968.7863548954722
Type_19,1.0,3079,1225.396801038834
Type_2,0.0,3288,inf
Type_2,0.1,3288,634.6046616165404
Type_2,0.5,3288,1065.9204709404103
Type_2,1.0,3288,1362.5223000964027
Type_20,0.0,3231,inf
Type_20,0.1,3231,506.3790764977556
Type_20,0.5,3231,882.479656604705
Type_20,1.0,3231,1153.0365026873183
Type_3,0.0,3127,inf
Type_3,0.1,3127,563.289592766869
Type_3,0.5,3127,954.7628179499121
Type_3,1.0,3127,1228.2701262952473
Type_4,0.0,3235,inf
Type_4,0.1,3235,596.3174724950097
Type_4,0.5,3235,1015.9270782876474
Type_4,1.0,3235,1305.5815119763886
Type_5,0.0,4063,inf
Type_5,0.1,4063,672.3957910957633
Type_5,0.5,4063,1143.6098861478572
Type_5,1.0,4063,1479.3764231632665
Type_6,0.0,4473,inf
Type_6,0.1,4473,769.2065097049772
Type_6,0.5,4473,1246.6426311120372
Type_6,1.0,4473,1585.6308277881853
Type_7,0.0,5305,inf
Type_7,0.1,5305,770.275345987578
Type_7,0.5,5305,1274.4874103276145
Type_7,1.0,5305,1645.5145023789007
Type_8,0.0,4119,inf
Type_8,0.1,4119,508.7183460412853
Type_8,0.5,4119,910.1481595118411
Type_8,1.0,4119,1212.2163200981026
Type_9,0.0,4099,inf
Type_9,0.1,4099,608.473584068052
Type_9,0.5,4099,1034.8792981063682
Type_9,1.0,4099,1345.9387482186041
