category,model,param,perplexity
Type_1,MLE,0.0,inf
Type_1,Add-1,1.0,527.509124426899
Type_1,Add-k,0.1,246.77130763754894
Type_1,Add-k,0.5,401.97854597867826
Type_1,Add-k,1.0,527.509124426899
Type_1,KN,0.75,111.52956415711105
Type_10,MLE,0.0,inf
Type_10,Add-1,1.0,1224.682261758725
Type_10,Add-k,0.1,505.2239378507367
Type_10,Add-k,0.5,915.0682453897138
Type_10,Add-k,1.0,1224.682261758725
Type_10,KN,0.75,162.07637063752134
Type_11,MLE,0.0,inf
Type_11,Add-1,1.0,1410.0258223726619
Type_11,Add-k,0.1,670.131890574747
Type_11,Add-k,0.5,1100.7358999673227
Type_11,Add-k,1.0,1410.0258223726619
Type_11,KN,0.75,219.36209014213796
Type_12,MLE,0.0,inf
Type_12,Add-1,1.0,1251.2651238146314
Type_12,Add-k,0.1,546.8522983575385
Type_12,Add-k,0.5,950.1813439745337
Type_12,Add-k,1.0,1251.2651238146314
Type_12,KN,0.75,177.7672573082736
Type_13,MLE,0.0,inf
Type_13,Add-1,1.0,1249.6149927418314
Type_13,Add-k,0.1,529.5415987237973
Type_13,Add-k,0.5,942.9501260373129
Type_13,Add-k,1.0,1249.6149927418314
Type_13,KN,0.75,166.82169012853666
Type_14,MLE,0.0,inf
Type_14,Add-1,1.0,1158.6200457812859
Type_14,Add-k,0.1,440.09543676620757
Type_14,Add-k,0.5,846.1618755584337
Type_14,Add-k,1.0,1158.6200457812859
Type_14,KN,0.75,125.40530906281559
Type_15,MLE,0.0,inf
Type_15,Add-1,1.0,1280.9729638419242
Type_15,Add-k,0.1,544.1419330460441
Type_15,Add-k,0.5,966.3532285935163
Type_15,Add-k,1.0,1280.9729638419242
Type_15,KN,0.75,171.9431140145942
Type_16,MLE,0.0,inf
Type_16,Add-1,1.0,1277.2692296582286
Type_16,Add-k,0.1,556.2803555665502
Type_16,Add-k,0.5,971.1983634281402
Type_16,Add-k,1.0,1277.2692296582286
Type_16,KN,0.75,179.99074450370784
Type_17,MLE,0.0,inf
Type_17,Add-1,1.0,648.5082506211513
Type_17,Add-k,0.1,275.13344439372213
Type_17,Add-k,0.5,480.8116276279535
Type_17,Add-k,1.0,648.5082506211513
Type_17,KN,0.75,117.95262058626346
Type_18,MLE,0.0,inf
Type_18,Add-1,1.0,663.7858524233566
Type_18,Add-k,0.1,296.1908268487199
Type_18,Add-k,0.5,498.8487707281389
Type_18,Add-k,1.0,663.7858524233566
Type_18,KN,0.75,125.48451682272415
Type_19,MLE,0.0,inf
Type_19,Add-1,1.0,717.9536723833521
Type_19,Add-k,0.1,355.7694702873523
Type_19,Add-k,0.5,560.8297474745042
Type_19,Add-k,1.0,717.9536723833521
Type_19,KN,0.75,147.56450148159846
Type_2,MLE,0.0,inf
Type_2,Add-1,1.0,858.901640862837
Type_2,Add-k,0.1,391.5849296739897
Type_2,Add-k,0.5,660.0005373873636
Type_2,Add-k,1.0,858.901640862837
Type_2,KN,0.75,148.3766964545907
Type_20,MLE,0.0,inf
Type_20,Add-1,1.0,688.6476863440294
Type_20,Add-k,0.1,307.4797936885525
Type_20,Add-k,0.5,523.3186704799555
Type_20,Add-k,1.0,688.6476863440294
Type_20,KN,0.75,125.42817516343399
Type_3,MLE,0.0,inf
Type_3,Add-1,1.0,824.8883465624328
Type_3,Add-k,0.1,376.179921500457
Type_3,Add-k,0.5,634.0581689410855
Type_3,Add-k,1.0,824.8883465624328
Type_3,KN,0.75,147.4154829905512
Type_4,MLE,0.0,inf
Type_4,Add-1,1.0,864.4584797937567
Type_4,Add-k,0.1,394.81375728403947
Type_4,Add-k,0.5,665.7868964083265
Type_4,Add-k,1.0,864.4584797937567
Type_4,KN,0.75,151.34199299119936
Type_5,MLE,0.0,inf
Type_5,Add-1,1.0,861.4293576641762
Type_5,Add-k,0.1,391.3917232346082
Type_5,Add-k,0.5,657.4816792662164
Type_5,Add-k,1.0,861.4293576641762
Type_5,KN,0.75,153.25511860270592
Type_6,MLE,0.0,inf
Type_6,Add-1,1.0,775.565477606856
Type_6,Add-k,0.1,391.4217372625254
Type_6,Add-k,0.5,608.2348274318631
Type_6,Add-k,1.0,775.565477606856
Type_6,KN,0.75,153.22416278735946
Type_7,MLE,0.0,inf
Type_7,Add-1,1.0,738.6104460543772
Type_7,Add-k,0.1,366.6344366291142
Type_7,Add-k,0.5,573.3863614725859
Type_7,Add-k,1.0,738.6104460543772
Type_7,KN,0.75,148.05244521653134
Type_8,MLE,0.0,inf
Type_8,Add-1,1.0,1209.645615507731
Type_8,Add-k,0.1,507.2015565285803
Type_8,Add-k,0.5,908.01127562263
Type_8,Add-k,1.0,1209.645615507731
Type_8,KN,0.75,158.90288644663144
Type_9,MLE,0.0,inf
Type_9,Add-1,1.0,1338.7971292100403
Type_9,Add-k,0.1,605.399827086779
Type_9,Add-k,0.5,1029.3888196144846
Type_9,Add-k,1.0,1338.7971292100403
Type_9,KN,0.75,197.11386239609945
