category,MLE,Add-1,Add-k(k=0.1),KN(d=?)
Type_1,inf,896.0911749201272,401.1639597693639,
Type_10,inf,1229.269195877094,507.1511236202772,
Type_11,inf,1417.8561674566836,673.5349378699055,
Type_12,inf,1256.7382399635922,550.5376217210652,
Type_13,inf,1255.7530899031913,533.0852654935561,
Type_14,inf,1162.4869274679259,441.86181095348053,
Type_15,inf,1284.8307223228867,546.2181527368897,
Type_16,inf,1281.078787360792,558.0985471024395,
Type_17,inf,1311.7579810978564,529.4473095899577,
Type_18,inf,1361.0706129996372,579.447672602952,
Type_19,inf,1225.396801038834,606.1245938233104,
Type_2,inf,1362.5223000964027,634.6046616165404,
Type_20,inf,1153.0365026873183,506.3790764977556,
Type_3,inf,1228.2701262952473,563.289592766869,
Type_4,inf,1305.5815119763886,596.3174724950097,
Type_5,inf,1479.3764231632665,672.3957910957633,
Type_6,inf,1585.6308277881853,769.2065097049772,
Type_7,inf,1645.5145023789007,770.275345987578,
Type_8,inf,1212.2163200981026,508.7183460412853,
Type_9,inf,1345.9387482186041,608.473584068052,
Mean,,1300.0208481555514,577.8165687778513,
