category,MLE,Add-1,Add-k(k=0.1),KN(d=0.75)
Type_1,inf,527.5,246.8,111.5
Type_10,inf,1224.7,505.2,162.1
Type_11,inf,1410.0,670.1,219.4
Type_12,inf,1251.3,546.9,177.8
Type_13,inf,1249.6,529.5,166.8
Type_14,inf,1158.6,440.1,125.4
Type_15,inf,1281.0,544.1,171.9
Type_16,inf,1277.3,556.3,180.0
Type_17,inf,648.5,275.1,118.0
Type_18,inf,663.8,296.2,125.5
Type_19,inf,718.0,355.8,147.6
Type_2,inf,858.9,391.6,148.4
Type_20,inf,688.6,307.5,125.4
Type_3,inf,824.9,376.2,147.4
Type_4,inf,864.5,394.8,151.3
Type_5,inf,861.4,391.4,153.3
Type_6,inf,775.6,391.4,153.2
Type_7,inf,738.6,366.6,148.1
Type_8,inf,1209.6,507.2,158.9
Type_9,inf,1338.8,605.4,197.1
Mean,N/A,978.6,434.9,154.5
